accession,localization
P20618,PROTEASOME
Q99460,PROTEASOME
P28070,PROTEASOME
Q15008,PROTEASOME
P49721,PROTEASOME
O00487,PROTEASOME
P25788-2,PROTEASOME
P49720,PROTEASOME
P48556,PROTEASOME
Q99436,PROTEASOME
P28072,PROTEASOME
P23396,RIBOSOME
P05387,RIBOSOME
P62829,RIBOSOME
P61247,RIBOSOME
P62244,RIBOSOME
P32969,RIBOSOME
P62249,RIBOSOME
P39019,RIBOSOME
P30050,RIBOSOME
P62701,RIBOSOME
P18077,RIBOSOME
P05388,RIBOSOME
P63173,RIBOSOME
P62280,RIBOSOME
Q02878,RIBOSOME
P18621,RIBOSOME
P62277,RIBOSOME
P08865,RIBOSOME
P46781,RIBOSOME
P39023,RIBOSOME
P62888,RIBOSOME
P18124,RIBOSOME
P62857,RIBOSOME
P05386,RIBOSOME
P62750,RIBOSOME
P15880,RIBOSOME
P83731,RIBOSOME
P62899,RIBOSOME
P27635,RIBOSOME
P62266,RIBOSOME
P61353,RIBOSOME
P63220,RIBOSOME
P46779,RIBOSOME
P62269,RIBOSOME
P40429,RIBOSOME
P62081,RIBOSOME
P46778,RIBOSOME
P36578,RIBOSOME
P62910,RIBOSOME
P49207,RIBOSOME
P61513,RIBOSOME
P25398,RIBOSOME
P62913-2,RIBOSOME
P46782,RIBOSOME
P83881,RIBOSOME
P46783,RIBOSOME
P62753,RIBOSOME
Q02543,RIBOSOME
P62917,RIBOSOME
Q969Q0,RIBOSOME
P62241,RIBOSOME
P61313,RIBOSOME
P62424,RIBOSOME
P62906,RIBOSOME
Q07020,RIBOSOME
P46777,RIBOSOME
P26373,RIBOSOME
P62263,RIBOSOME
P62854,RIBOSOME
Q9Y3U8,RIBOSOME
P35268,RIBOSOME
P42766,RIBOSOME
P84098,RIBOSOME
P62841,RIBOSOME
P50914,RIBOSOME
P60866,RIBOSOME
P47914,RIBOSOME
